photo_url,location_lng,location_lat,scene,scene_id,townName,,tel,location,,tag,pcode,parent,distance,importance,biz_ext,biz_type,recommend,type,discount_num,gridcode,typecode,shopinfo,poiweight,citycode,children,alias,event,entr_location,indoor_map,email,timestamp,website,adcode,postcode,match,business_area,indoor_data,childtype,exit_location,shopid,navi_poiid,groupbuy_num,isin_region,查询关键词,手机号识别,,,行业大类,行业子类
[],108.976583,34.129871,杜曲新村甲子2号,B0HA6B5MQQ,,,183****8191;131****6760,"108.976583,34.129871",,,,[],[],[],[],[],,科教文化服务;科教文化场所;科教文化场所,,,140000,0,[],,,,,,,,,,,,,,,[],,[],,,yes,,1,,,科教文化服务,科教文化场所
[],109.107181,34.073389,[],B0H64YGNCV,,,182****6215,"109.107181,34.073389",,,,[],[],[],[],[],,科教文化服务;科技馆;科技馆,,,140600,0,[],,,,,,,,,,,,,,,[],,[],,,yes,,1,,,科教文化服务,科技馆
[],109.044848,34.127756,东庞路,B0FFL8E2HA,,,134****8588;132****4617,"109.044848,34.127756",,,,[],[],[],[],[],,科教文化服务;科教文化场所;科教文化场所,,,140000,0,[],,,,,,,,,,,,,,,[],,[],,,yes,,1,,,科教文化服务,科教文化场所
[],109.049384,34.134012,大兆北街大兆北街社区家门口派出所东北侧约90米,B0FFM4LEFX,,,139****2339;180****2640,"109.049384,34.134012",,,,[],[],[],[],[],,科教文化服务;科教文化场所;科教文化场所,,,140000,0,[],,,,,,,,,,,,,,,[],,[],,,yes,,1,,,科教文化服务,科教文化场所
[],109.029413,34.143376,X113(雁引路),B0FFM21P20,,,181****3183,"109.029413,34.143376",,,,[],[],[],[],[],,科教文化服务;科教文化场所;科教文化场所,,,140000,0,[],,,,,,,,,,,,,,,[],,[],,,yes,,1,,,科教文化服务,科教文化场所
[],108.97972,34.168782,富力城,B001D09Q38,,,181****9775,"108.97972,34.168782",,,,[],[],[],[],[],,科教文化服务;学校;小学,,,141203,0,[],,,,,,,,,,,,,,,[],,[],,,yes,,1,,,科教文化服务,学校
[],108.945297,34.147222,韦曲街道南长安街230号,B001D0WJKK,,,180****7379,"108.945297,34.147222",,,,[],[],[],[],[],,科教文化服务;学校;幼儿园,,,141204,0,[],,,,,,,,,,,,,,,[],,[],,,yes,,1,,,科教文化服务,学校
[],108.779491,34.176056,新韦斗路西段,B0FFFR7ZH6,,,177****5250,"108.779491,34.176056",,,,[],[],[],[],[],,科教文化服务;驾校;驾校,,,141500,0,[],,,,,,,,,,,,,,,[],,[],,,yes,,1,,,科教文化服务,驾校
[],108.870518,34.139311,栾树大道与环五路交叉口北200米,B0FFFDAQ3U,,,147****0816,"108.870518,34.139311",,,,[],[],[],[],[],,科教文化服务;学校;幼儿园,,,141204,0,[],,,,,,,,,,,,,,,[],,[],,,yes,,1,,,科教文化服务,学校
[],109.009365,34.167694,韦曲街道,B0FFFFWZJ6,,,135****0957,"109.009365,34.167694",,,,[],[],[],[],[],,科教文化服务;学校;幼儿园,,,141204,0,[],,,,,,,,,,,,,,,[],,[],,,yes,,1,,,科教文化服务,学校
